date,item,model,units,rmse,smape,forecast_accuracy,bias,lower,upper
2021-12-20,Coffee,xrnn,236.86801147460938,0.9680114746093693,0.4095080255493799,99.5896517699833,0.004086712547562099,228.21992301865993,245.51609993055882
2021-12-27,Coffee,xrnn,237.5313720703125,6.331372070312511,2.701492772863843,97.26151727062607,0.02665488779494074,225.8487032939064,249.2140408467186
2022-01-03,Coffee,xrnn,233.22817993164062,7.128179931640631,3.1037416135458873,96.84733306871269,0.030563116059688422,219.2029910696045,247.25336879367674
2022-01-10,Coffee,xrnn,237.1790771484375,1.2709228515624886,0.5344176429170879,99.46700656256553,-0.005358494799973856,221.3136633980107,253.0444908988643
2022-01-17,Coffee,xrnn,231.87539672851562,7.774603271484381,3.297639247185945,96.75585091947241,-0.03352922897890309,214.39570620911425,249.355087247917
2022-01-24,Coffee,xrnn,232.27682495117188,5.623175048828131,2.3919405425446483,97.6363282686725,-0.024208937116348972,213.93924564283626,250.6144042595075
2022-01-31,Coffee,xrnn,240.12416076660156,4.224160766601557,1.774767381470243,98.20934261695568,0.017591569099568494,220.78915168624948,259.4591698469536
2022-02-07,Coffee,xrnn,236.3250732421875,5.524926757812494,2.310838463557557,97.71555643671181,-0.023378504371182496,216.50754523188743,256.14260125248757
2022-02-14,Coffee,xrnn,230.55783081054688,21.09216918945313,8.748165351856333,91.61845055058488,-0.09148320451880432,210.46694311691786,250.6487185041759
2022-02-21,Coffee,xrnn,235.9735870361328,10.876412963867182,4.505336216332459,95.59391818356606,-0.046091654157046635,216.4362646965349,255.51090937573073
2022-02-28,Coffee,xrnn,239.0703125,0.9796875000000114,0.4089526051976815,99.59188189960425,-0.004097905297212545,220.07083514860827,258.06978985139176
2022-03-07,Coffee,xrnn,237.532958984375,13.382958984374994,5.797467168298894,94.02946286666295,0.05634148221618096,219.22421366940407,255.84170429934593
2022-03-14,Coffee,xrnn,235.6306915283203,12.680691528320324,5.530407957674428,94.31231597742978,0.05381595854967913,217.94448219516238,253.31690086147825
2022-03-21,Coffee,xrnn,239.97817993164062,19.678179931640614,8.55055954838579,91.06755336738964,0.08199987156018129,222.90237186093697,257.0539880023443
2022-03-28,Coffee,xrnn,238.1082763671875,16.258276367187506,7.069457036667572,92.67150039793216,0.06828102162276617,221.75936431814932,254.45718841622568
2022-04-04,Coffee,xrnn,239.861328125,11.461328124999994,4.895269985626681,94.98190537434326,0.04778314292926411,223.6498627132931,256.0727935367069
2022-04-11,Coffee,xrnn,238.14532470703125,6.495324707031244,2.7651721357941526,97.19606099415876,0.02727462617635623,221.91100766406842,254.37964174999408
2022-04-18,Coffee,xrnn,244.71376037597656,21.113760375976568,9.016929316373618,90.55735224687989,0.08627941617805857,228.20247630183988,261.2250444501133
2022-04-25,Coffee,xrnn,244.07321166992188,16.773211669921864,7.116743698904668,92.62067238454823,0.06872205087629812,227.24077698339713,260.90564635644665
2022-05-02,Coffee,xrnn,239.70755004882812,17.157550048828114,7.423372553683878,92.29047402883481,0.0715770114263532,222.35703923248462,257.0580608651716
2022-05-09,Coffee,xrnn,227.2357177734375,15.635717773437506,7.126000523735822,92.61071938873464,0.06880836308060911,209.21996879939707,245.25146674747793
2022-05-16,Coffee,xrnn,227.3419189453125,14.441918945312494,6.5609013243950045,93.21657165556012,0.06352510356344143,208.91483637666025,245.76900151396475
2022-05-23,Coffee,xrnn,222.70362854003906,6.853628540039068,3.1255600656435316,96.82481883713733,0.030774660408404042,203.60761521193905,241.79964186813908
2022-05-30,Coffee,xrnn,221.80665588378906,7.643344116210926,3.387581774828955,96.66884109121337,-0.034459489440278546,202.1911957751424,241.42211599243572
2022-06-06,Coffee,xrnn,231.1455841064453,1.2544158935546932,0.5412265531437521,99.46023412497647,-0.005426951582934159,210.7050866986521,251.58608151423851
2022-06-13,Coffee,xrnn,231.24166870117188,2.3416687011718693,1.01780336815904,98.97699051936571,0.010126499753804974,210.21603077699098,252.26730662535277
2022-06-20,Coffee,xrnn,231.80934143066406,4.159341430664057,1.8105373231558222,98.17292271879462,0.017942941406044022,210.25946060617244,253.3592222551557
2022-06-27,Coffee,xrnn,226.71539306640625,0.11539306640625568,0.05091072051433812,99.94907631667861,0.0005089776430506898,204.93400022107036,248.49678591174214
2022-07-04,Coffee,xrnn,231.8666229248047,3.416622924804699,1.48446645402281,98.50443295040284,0.014735294289910494,209.7529137724339,253.98033207717546
2022-07-11,Coffee,xrnn,224.72579956054688,1.8257995605468693,0.8157704771884613,99.18088848786591,0.008124565867013156,202.76808275955887,246.68351636153488
2022-07-18,Coffee,xrnn,226.07093811035156,22.370938110351574,10.41063325906296,89.01770343134434,0.09895539115882157,204.6419953676938,247.49988085300933
2022-07-25,Coffee,xrnn,226.69471740722656,19.994717407226574,9.227024051813316,90.32669694860833,0.08820107339029326,205.542853687391,247.84658112706214
2022-08-01,Coffee,xrnn,226.18106079101562,8.981060791015636,4.051170239429236,95.86507330063738,0.03970739530359646,205.80215113793716,246.5599704440941
2022-08-08,Coffee,xrnn,229.4622039794922,20.0122039794922,9.119000929136732,90.44535498711281,0.08721350894581648,210.3643957454837,248.56001221350067
2022-08-15,Coffee,xrnn,230.08633422851562,3.4863342285156307,1.5267959504000166,98.46145885767183,0.015152287249937668,212.30376774522148,247.86890071180977
2022-08-22,Coffee,xrnn,224.34669494628906,8.146694946289074,3.698447878394507,96.23187097766463,0.03631297063787575,207.67641601673859,241.01697387583954
2022-08-29,Coffee,xrnn,221.0617218017578,18.038278198242182,7.839973358763312,92.45575985017057,-0.08159837918216528,205.14278884350125,236.98065476001437
